Sentiment in Forums,Risk Level Prediction,Word Count,processed_IOCs (Indicators of Compromise),processed_Threat Actor,processed_Attack Vector,processed_Geographical Location,processed_Cleaned Threat Description,processed_Keyword Extraction,processed_Named Entities (NER),processed_Topic Modeling Labels,Threat Category,Severity Score,Suggested Defense Mechanism
0.99,4,47,,,email,north korea,ransomware attack network vulnerability,,,malware,DDoS,5,Increase Web Security
0.97,4,31,,lazarus group,network,usa,phishing email malicious link,,service,phishing,Malware,1,Quarantine
0.87,2,24,,,email,north korea,ransomware attack network vulnerability,,,malware,Phishing,3,Quarantine
0.64,1,46,,lazarus group,web,global,phishing email malicious link,,,ddos,DDoS,2,Quarantine
0.57,1,24,,unknown,email,germany,phishing scam targeting corporate account,,group device,ddos,DDoS,1,Patch Vulnerability
0.93,4,34,,,web,north korea,ransomware attack network vulnerability,,,malware,Malware,5,Patch Vulnerability
0.58,5,30,,lazarus group,email,germany,phishing scam targeting corporate account,,group device,phishing,Phishing,1,Patch Vulnerability
0.93,3,47,,anonymous,web,north korea,distributed denial service attack public website,,service,phishing,Phishing,5,Increase Web Security
0.75,4,11,,anonymous,network,global,phishing email malicious link,,service,phishing,DDoS,4,Patch Vulnerability
0.7,5,36,,,web,usa,distributed denial service attack public website,,group device,ransomware,Ransomware,5,Monitor for Phishing
0.95,5,41,,,network,global,phishing email malicious link,,,phishing,DDoS,5,Quarantine
0.8,2,30,,unknown,network,usa,phishing scam targeting corporate account,,service,phishing,DDoS,5,Increase Web Security
0.79,2,13,,,web,usa,malware detected email attachment,,,malware,DDoS,3,Increase Web Security
0.78,1,28,,unknown,email,germany,ransomware attack network vulnerability,,service,ransomware,DDoS,5,Increase Web Security
0.69,1,11,,unknown,email,global,phishing scam targeting corporate account,,service,malware,Malware,2,Increase Web Security
0.89,3,35,,anonymous,email,north korea,phishing email malicious link,,,phishing,Phishing,2,Increase Web Security
0.63,3,43,,anonymous,email,global,phishing email malicious link,,,ddos,Malware,1,Monitor for Phishing
0.97,3,23,,lazarus group,email,germany,phishing email malicious link,,,malware,Malware,3,Quarantine
0.95,3,24,,anonymous,network,usa,phishing email malicious link,,,phishing,Malware,1,Increase Web Security
0.67,5,29,,anonymous,email,germany,ransomware attack network vulnerability,,,phishing,DDoS,2,Quarantine
0.86,5,43,,,network,russia,distributed denial service attack public website,,,phishing,Ransomware,2,Patch Vulnerability
